Título,URL,Tipo,Alternativas,Áreas
"Inversiones Copahue recibe crédito de USD 102 millones para comprar Los Guindos",https://lexlatin.com/node/134009,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Grupo Cibest vende Banitsmo a Grupo BSC por USD 1.418 millones",https://lexlatin.com/node/133842,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Acelen Renewables negocia acuerdos para un proyecto de aviación sostenible",https://lexlatin.com/node/133710,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Manatí Capital Management invierte en Alicerce PM Imobiliários",https://lexlatin.com/node/133681,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Engie Brasil completa emisión para comprar una participación en central hidroeléctrica",https://lexlatin.com/node/133506,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Cemex emite bonos por 1.500 millones de dólares y asegura línea de crédito",https://lexlatin.com/node/133378,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Esentia Energy emite bonos por USD 2.000 millones",https://lexlatin.com/node/133245,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Generadora de Gatún emite bonos sénior por USD 1.050 millones",https://lexlatin.com/node/133152,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Parex Resources consigue USD 750 millones para financiar la compra de activos de E&P de Frontera en Colombia",https://lexlatin.com/node/132910,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Ecopetrol compra participación de 26 % en Brava Energía",https://lexlatin.com/node/132594,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Erton Holding se vuelve accionista del Grupo Nutresa",https://lexlatin.com/node/132473,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Mundo debuta en el mercado de deuda con emisión de bonos sostenibles por USD 435 millones",https://lexlatin.com/node/132446,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Pemex obtiene financiamiento por un monto total de USD 2.834,6 millones a través de emisión y préstamo sindicado",https://lexlatin.com/node/131850,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"SABESP capta préstamo por USD 1.500 millones y emite bonos azules",https://lexlatin.com/node/131245,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Banco Industrial protagoniza histórico financiamiento de USD 850 millones",https://lexlatin.com/node/131186,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Vista Energy se fortalece en Vaca Muerta con la compra de los activos de Equinor",https://lexlatin.com/node/131175,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Mercuria Energy Trading adquiere concentrados de cobre de El Espino",https://lexlatin.com/node/131117,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Tortuga Resorts se hace con el portafolio inmobiliario de Playa Hotels & Resorts",https://lexlatin.com/node/131009,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"ASUR obtiene crédito para la adquisición de URW Airports",https://lexlatin.com/node/130994,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Alójica se hace con The Westin Resort & Spa Cancún",https://lexlatin.com/node/130990,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Masisa emite bonos corporativos como parte de su reestructuración de pasivos",https://lexlatin.com/node/130949,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Auna obtiene cerca de USD 800 millones para refinanciar deuda",https://lexlatin.com/node/130525,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Marcobre obtiene un financiamiento por un monto total de USD 700 millones",https://lexlatin.com/node/130472,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Inversiones Alcántara se hace con participación en Valtek",https://lexlatin.com/node/130429,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Alpha Brazil FIP y NY FIP se hacen con participación mayoritaria en Serena Energia",https://lexlatin.com/node/130421,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"BUPA logra una participación en la Clínica Anglo Americana",https://lexlatin.com/node/130255,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Corporación Quiport obtiene financiamiento de 500 millones de dólares",https://lexlatin.com/node/129437,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Auna y su subsidiaria Oncosalud colocan bonos con vencimiento en 2032",https://lexlatin.com/node/129109,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Un inversor se hace con participación en Celulosa Argentina",https://lexlatin.com/node/128546,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"EIG Global adquiere participación en Transportadora de Gas del Perú",https://lexlatin.com/node/127823,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Cinépolis obtiene préstamo sindicado por USD 178,4 millones",https://lexlatin.com/node/127173,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Sociedad Concesionaria Vespucio Norte Express optimiza el perfil de su deuda ",https://lexlatin.com/node/126339,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Vista Energy se fortalece en Vaca Muerta, compra las operaciones de upstream de Petronas en Argentina",https://lexlatin.com/node/125675,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Procaps; los retos que impuso la reestructuración de deuda de la farmacéutica colombiana",https://lexlatin.com/node/125611,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"WOM culmina reestructuración corporativa y financiera y sale del Capítulo 11",https://lexlatin.com/node/125516,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Macquarie compra participación de Brookfield en Los Ramones II Sur",https://lexlatin.com/node/125201,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Interceramic refinancia deuda por USD 638 millones ",https://lexlatin.com/node/125156,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Kallpa Generación recauda 500 millones de dólares en emisión internacional de bonos",https://lexlatin.com/node/124952,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Energy Capital Partners se hace con Atlántica",https://lexlatin.com/node/124834,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Ecuador realiza un nuevo canje de deuda por naturaleza",https://lexlatin.com/node/123946,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Altis Principal Investments adquiere una participación minoritaria en Oxzo",https://lexlatin.com/node/123668,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"ContourGlobal refinancia deuda sénior asociada a dos plantas de cogeneración ",https://lexlatin.com/node/123154,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Brasileña Sabesp es privatizada a través de venta de acciones por USD 2.700 millones",https://lexlatin.com/node/122517,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Aerodom obtiene financiamiento de 940 millones de dólares",https://lexlatin.com/node/122499,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Fibra Macquarie inicia OPA por los certificados de Terrafina",https://lexlatin.com/node/122318,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Univision Communications obtiene fondos para anticipar pago de su deuda existente",https://lexlatin.com/node/121942,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Helisul adquiere Inversiones Ecocopter Holdings y sus filiales en Chile y Ecuador",https://lexlatin.com/node/121162,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Glacier AcquisitionCo adquiere el 49 % de Chile Renovables",https://lexlatin.com/node/118685,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Con adquisición de Éxito, Grupo Calleja concreta primera compra en Colombia ",https://lexlatin.com/node/118649,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Valia Energía de México obtiene fondos para cartera de centrales eléctricas",https://lexlatin.com/node/118556,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Inicia asume el control de empresas conjuntas con Gerdau en Colombia y República Dominicana",https://lexlatin.com/node/118366,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Consorcio compra participación mayoritaria en Baja Aqua-Farms y subsidiarias",https://lexlatin.com/node/118181,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Accel-KKR adquiere filiales de DBNet en Colombia, Chile y Perú",https://lexlatin.com/node/117586,M&A,"Financiamientos","Propiedad Intelectual, Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Filiales de la brasileña CCR colocan obligaciones por 815 millones de dólares",https://lexlatin.com/node/116937,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Rideshop.cl recibe inversión para expandir plataforma de e-commerce",https://lexlatin.com/node/116382,Financiamientos,"M&A","Propiedad Intelectual, Banca y finanzas (créditos y financiamientos), Corporativo - Venture Capital"
"Actis obtiene financiamiento multifuente",https://lexlatin.com/node/116116,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Alójica adquiere Marriott Puerto Vallarta Resort & Spa",https://lexlatin.com/node/115982,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Güil participa en ronda de inversión de Galgo junto con Nazca y Grupo Auteco",https://lexlatin.com/node/115963,Financiamientos,"M&A","Propiedad Intelectual, Banca y finanzas (créditos y financiamientos), Corporativo - Venture Capital"
"STEAG completa la venta tras una exhaustiva revisión de los activos de propiedad intelectual",https://lexlatin.com/node/115576,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Transmissora Acre recibe financiamiento para proyectos de energía eléctrica",https://lexlatin.com/node/115262,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"HI Investment Holding invierte en Oncomed y Hospital Orizonti",https://lexlatin.com/node/115253,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Asterion adquiere Steag ",https://lexlatin.com/node/115218,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Emergent Cold LatAm se expande en Brasil con la adquisición de almacenes en São Paulo",https://lexlatin.com/node/115196,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Canadian Solar completa inversión para construcción de planta solar ",https://lexlatin.com/node/114589,Emisiones,"M&A; Financiamientos","Mercado de capitales - Emisiones, Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Marfrig vende unidades de sacrificio de ganado vacuno y ovino en Sudamérica a Minerva",https://lexlatin.com/node/114472,Emisiones,"M&A; Financiamientos","Mercado de capitales - Emisiones, Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"LNG Energy Group ingresa a Colombia tras adquirir activos de Lewis Energy Group",https://lexlatin.com/node/114450,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Ainda adquiere bloque petrolero y emite certificados opcionales de coinversión",https://lexlatin.com/node/114425,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Be Grand adquiere participación del 50 % de los derechos fideicomisarios de un fideicomiso de Invex",https://lexlatin.com/node/113641,M&A,"Financiamientos","Corporativo - Adquisiciones, Corporativo - Joint Ventures, Banca y finanzas (créditos y financiamientos)"
"3R Lux recibe financiamiento y estructura emisión de debentures privados ",https://lexlatin.com/node/112828,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Actualización: Enel Chile vende Arcadia Generación Solar S.A., su negocio de energía fotovoltaica, a Sonnedix",https://lexlatin.com/node/112827,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Sacyr logra refinanciamiento para proyecto vial en noreste de Colombia",https://lexlatin.com/node/112730,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Enerflex Services Peru recibe préstamo y emite bonos sénior",https://lexlatin.com/node/112556,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Volex adquiere las subsidiarias mexicanas de Murat Ticaret Kablo Sanayi",https://lexlatin.com/node/112498,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Arteris recauda USD 160 millones con apoyo de Export Development Canada",https://lexlatin.com/node/111239,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Solek recibe financiamiento de fuente múltiple para desarrollar proyectos de energía",https://lexlatin.com/node/110938,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Seacrest Petróleo obtiene fondos de sindicato de bancos para comprar campo en Brasil",https://lexlatin.com/node/110821,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Grünenthal y su filial chilena Laboratorios Andrómaco modifican crédito y emiten bono",https://lexlatin.com/node/110401,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Thor Urbana adquiere cartera de activos inmobiliarios en México",https://lexlatin.com/node/109843,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Fibra MTY compra portafolio de bienes raíces industriales de Finsa y Walton Street Capital México",https://lexlatin.com/node/109771,Emisiones,"M&A; Financiamientos","Mercado de capitales - Emisiones, Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Pan American Silver adquiere a la minera Yamana Gold",https://lexlatin.com/node/109708,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Chembro Química adquiere a Elekeiroz",https://lexlatin.com/node/109662,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Global Infrastructure Partners adquiere 50 % de Tramarsa",https://lexlatin.com/node/109625,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Urbia Gestão de Parques SPE emite obligaciones negociables y recibe financiamiento junto a Urbia Cânions Verdes ",https://lexlatin.com/node/109547,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"EMX y Altus adquieren participaciones en SLM California",https://lexlatin.com/node/109244,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Líneas 8 y 9 de CPTM en São Paulo reciben R$ 4,6 mil millones para mejoras",https://lexlatin.com/node/109221,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Vega Solar emite debentures y acciones",https://lexlatin.com/node/109091,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Equatorial Energia emite obligaciones y acciones",https://lexlatin.com/node/109026,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Ascenty obtiene fondos para refinanciar deuda",https://lexlatin.com/node/108342,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"FEMSA reduce su participación en Heineken",https://lexlatin.com/node/108010,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Vinci Airports recibe financiamiento para aeropuertos en el norte de Brasil",https://lexlatin.com/node/107909,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Lenus Capital Partners adquiere Medicadiz",https://lexlatin.com/node/107891,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Proparco emite de bonos verdes y otorga financiamiento a Louis Dreyfus Company Sucos",https://lexlatin.com/node/106903,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Aligned Data Centers compra ODATA, empresa de datos latinoamericana",https://lexlatin.com/node/106558,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Industrias Bachoco realiza oferta pública de adquisición",https://lexlatin.com/node/106319,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Grupo Saesa compra participación mayoritaria en Enel Transmisión Chile",https://lexlatin.com/node/106088,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Actis compra la totalidad del productor de energía mexicano MT Falcon ",https://lexlatin.com/node/105852,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Brookfield Asset Management obtiene financiamiento para la adquisición de Unidas Locadora",https://lexlatin.com/node/105582,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Mexicana Kaltex refinancia deudas ",https://lexlatin.com/node/105501,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Mobiliare Latam, Inmobiliaria guatemalteca, ingresa al mercado mexicano",https://lexlatin.com/node/105257,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"LATAM Airlines sale del Capítulo 11 luego de más de dos años",https://lexlatin.com/node/105200,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Insolvencias, quiebras y reestructuraciones, Banca y finanzas (créditos y financiamientos)"
"Fondo de Inversión WEG-4 y WEG Administradora realizan adquisición de Generación Solar",https://lexlatin.com/node/105052,M&A,"Financiamientos","Insolvencias, quiebras y reestructuraciones, Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Novonor y NSP Investimentos realizan adquisición de acciones preferenciales emitidas por Braskem",https://lexlatin.com/node/104486,Emisiones,"M&A","Mercado de capitales - Emisiones, Corporativo - Adquisiciones"
"Credicorp Capital compra edificio multifamiliar en Chile",https://lexlatin.com/node/104297,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"Global Infrastructure Partners adquiere la totalidad de Atlas Renewable Energy",https://lexlatin.com/node/104256,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
"América Móvil realiza emisión de oferta pública Euro Serie B y recibe línea de crédito sénior no garantizada",https://lexlatin.com/node/104153,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Eixo SP Concessionária de Rodovias recibe financiamiento de diferentes bancos y realiza 2ª emisión de debentures",https://lexlatin.com/node/104011,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Controladora Mabe realiza oferta para la recompra en efectivo de notas senior garantizadas y recibe crédito a plazo senior no garantizado",https://lexlatin.com/node/102972,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Innergex realiza emisión de bonos verdes por 710 millones de dólares",https://lexlatin.com/node/101856,Emisiones,"Financiamientos","Mercado de capitales - Emisiones, Banca y finanzas (créditos y financiamientos)"
"Complejo Agroindustrial Beta adquiere propiedades de AQP Olmos y recibe financiamiento de bancos locales",https://lexlatin.com/node/101735,M&A,"Financiamientos","Corporativo - Adquisiciones, Banca y finanzas (créditos y financiamientos)"
